name;mainUrl;start;recurrence;iosCode;andCode;steamCode;en;tu;fr;es;jp;ko;sc;tc;de;ru;it;bp
reignsGoT;reignsgame.com/;22;12;1342309192;com.devolver.reignsGot;897820;Reigns: Game of Thrones;Reigns: Game of Thrones;Reigns: Game of Thrones;Reigns: Juego de Tronos;Reigns: Game of Thrones;Reigns: 왕좌의 게임;Reigns: Game of Thrones;Reigns: Game of Thrones;Reigns: Game of Thrones;Reigns: Game of Thrones;Reigns: Game of Thrones;Reigns: Game of Thrones
reigns;reignsgame.com/reigns/;12;10;1114127463;com.devolver.reigns;474750;In the same collection...;Aynı koleksiyonda...;Dans la même collection...;En la misma colección...;同じシリーズで…;같은 시리즈로…;在同一个系列中......;在同一個系列中......;In der gleichen Sammlung...;В том же сборнике...;Nella stessa collezione...;Na mesma coleção...
reigns2;reignsgame.com/rhm/;12;10;1171040772;com.devolver.reigns2;717640;In the same collection...;Aynı koleksiyonda...;Dans la même collection...;En la misma colección...;同じシリーズで…;같은 시리즈로…;在同一个系列中......;在同一個系列中......;In der gleichen Sammlung...;В том же сборнике...;Nella stessa collezione...;Na mesma coleção...
